lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-022_T1w	2.515	2.29	2.641	1.845	3.521	2.771	2.634	2.91	2.516	2.331	2.558	2.111	2.416	2.961	2.516	2.514	2.542	2.716	2.571	1.563	2.138	2.617	2.702	2.483	3.082	2.309	2.69	2.294	2.84	2.76	3.093	3.369	2.506	2.908	2.55253	1102014.0	1303246.16366
sub-023_T1w	2.681	2.783	2.502	1.904	3.508	2.774	2.45	2.855	2.368	2.403	2.78	2.051	2.623	3.071	3.064	2.303	2.594	2.972	2.681	1.496	2.175	2.674	2.715	2.363	3.216	2.521	2.719	2.223	2.927	2.595	3.3	3.698	2.178	3.108	2.56804	1246391.0	1537642.56487
sub-024_T1w	2.557	2.926	2.693	1.928	3.26	2.698	2.438	2.727	2.282	2.322	2.812	2.055	2.447	2.988	2.729	2.527	2.885	2.82	2.745	1.77	2.193	2.617	2.75	2.458	2.885	2.463	2.855	2.196	3.007	2.804	2.881	3.283	2.695	3.308	2.6076	1255451.0	1663340.46462
sub-025_T1w	2.48	2.888	2.611	1.984	3.15	2.874	2.55	2.86	2.484	2.279	2.672	1.984	2.592	2.915	3.121	2.426	2.598	2.921	2.522	1.591	2.128	2.688	2.711	2.49	3.161	2.405	2.793	2.304	2.95	2.67	2.527	3.521	2.394	2.823	2.5749	985481.0	1272313.41432
sub-026_T1w	2.634	2.688	2.833	2.129	3.683	3.069	2.545	2.981	2.662	2.461	2.863	2.437	2.629	3.094	3.347	2.565	3.03	3.06	2.833	1.749	2.212	2.72	2.829	2.648	3.15	2.614	2.846	2.333	2.996	2.747	2.712	3.768	2.848	3.23	2.71806	1112801.0	1420887.66444
sub-027_T1w	2.612	2.373	2.694	1.895	3.304	2.909	2.55	2.92	2.389	2.308	2.743	1.985	2.653	2.926	3.34	2.506	2.727	2.743	2.53	1.747	2.231	2.722	2.921	2.423	2.914	2.418	2.846	2.34	2.818	2.596	2.858	3.265	2.35	3.18	2.60738	1024278.0	1357572.87978
sub-028_T1w	2.692	2.78	2.9	1.922	3.161	2.643	2.41	2.909	2.369	2.165	2.814	2.151	2.613	3.06	3.27	2.426	2.679	2.989	2.628	1.709	2.132	2.66	2.605	2.483	3.025	2.721	2.937	2.172	3.153	2.668	3.392	3.086	2.474	3.273	2.61177	1220275.0	1556979.30939
sub-029_T1w	2.74	2.669	2.688	2.037	3.385	2.85	2.554	2.925	2.445	2.314	2.765	2.195	2.558	3.087	3.233	2.36	2.74	2.691	2.544	1.805	2.264	2.502	2.652	2.579	3.178	2.492	2.869	2.206	3.133	2.758	2.611	3.288	2.4	3.204	2.63473	1179072.0	1424102.08776
sub-030_T1w	2.552	2.503	2.704	2.208	3.137	2.745	2.505	2.929	2.685	2.226	2.904	2.164	2.64	2.974	3.267	2.373	2.73	2.614	2.61	1.868	2.181	2.559	2.695	2.534	2.692	2.533	2.825	2.262	3.043	2.697	3.365	3.754	2.565	3.331	2.60917	1299968.0	1713723.85304
sub-031_T1w	2.97	2.71	2.795	1.833	3.058	2.967	2.733	3.166	2.374	2.297	2.898	2.1	2.655	3.325	2.685	2.65	2.951	2.794	2.55	1.588	2.226	2.759	2.823	2.611	3.358	2.547	2.924	2.382	3.133	2.941	3.041	4.392	2.435	3.059	2.71437	1104111.0	1377872.88351
sub-032_T1w	2.752	2.727	2.588	1.94	3.707	2.949	2.636	3.089	2.604	2.294	2.811	2.272	2.557	3.078	3.293	2.423	2.866	2.875	2.732	1.786	2.154	2.584	2.74	2.526	3.165	2.629	2.787	2.24	3.041	2.793	3.036	4.007	2.647	3.017	2.63648	1299686.0	1596877.1267
sub-033_T1w	2.439	2.853	2.555	1.789	3.679	2.825	2.352	2.917	2.486	2.337	2.697	2.137	2.592	3.002	3.229	2.443	2.643	2.746	2.413	1.605	2.303	2.491	2.793	2.481	2.831	2.358	2.714	2.205	2.99	2.606	2.819	3.821	2.936	3.23	2.58573	1128572.0	1439369.25747
sub-034_T1w	2.535	2.633	2.803	2.187	3.187	2.774	2.566	3.108	2.417	2.221	2.912	2.06	2.451	3.036	2.873	2.463	3.042	2.872	2.812	1.753	2.192	2.528	2.848	2.506	2.787	2.599	2.951	2.426	3.184	2.824	2.928	3.519	2.176	3.088	2.66664	1229162.0	1525684.87981
sub-035_T1w	2.717	2.823	2.57	2.0	3.265	2.782	2.604	2.879	2.553	2.316	2.571	2.098	2.477	3.068	3.134	2.542	2.709	2.738	2.524	1.76	2.273	2.463	2.781	2.495	3.172	2.459	2.904	2.351	2.952	2.707	2.61	3.516	2.673	3.316	2.62025	1042844.0	1326650.75383
sub-036_T1w	2.703	2.653	2.65	2.051	2.981	2.961	2.724	2.917	2.603	2.323	2.877	2.07	2.605	3.038	2.454	2.583	2.74	2.947	2.558	1.799	2.085	2.561	2.673	2.706	2.842	2.468	2.898	2.27	3.171	2.829	2.601	3.413	2.938	3.262	2.64281	1529914.0	1795649.1415
sub-037_T1w	2.55	3.176	2.738	1.841	3.047	2.846	2.577	3.051	2.537	2.294	2.795	2.032	2.487	2.906	2.704	2.458	2.702	3.051	2.485	1.477	1.992	2.797	2.724	2.519	2.969	2.588	2.943	2.183	3.323	2.744	2.789	3.492	2.639	3.111	2.62075	1189779.0	1421913.56174
sub-038_T1w	2.758	2.788	2.639	1.748	2.977	2.845	2.529	2.949	2.844	2.223	2.876	2.033	2.723	3.17	2.879	2.616	2.842	3.055	2.576	1.568	2.116	3.05	2.782	2.444	3.238	2.476	2.999	2.205	2.94	2.637	3.012	3.515	2.362	3.025	2.60694	1011164.0	1293854.93251
sub-039_T1w	3.011	3.261	2.806	2.011	3.529	2.936	2.716	2.98	2.531	2.347	2.929	2.279	2.638	3.176	2.606	2.716	3.187	3.206	2.843	1.711	2.515	2.913	2.961	2.762	3.054	2.756	2.911	2.471	3.257	2.873	2.973	3.574	2.912	3.355	2.78795	1206333.0	1563635.10185
sub-040_T1w	2.564	2.63	2.646	1.973	3.363	2.841	2.565	3.023	2.551	2.247	2.745	2.203	2.72	3.001	3.074	2.311	2.643	2.834	2.484	1.87	2.08	2.483	2.557	2.571	3.044	2.481	2.688	2.157	3.077	2.608	2.875	4.023	2.552	2.96	2.56043	1299465.0	1682088.40236
sub-041_T1w	2.146	2.525	2.648	1.959	3.614	2.812	2.479	2.992	2.25	2.298	2.65	2.149	2.542	2.754	3.161	2.511	2.683	2.637	2.499	1.795	2.197	2.566	2.701	2.638	3.076	2.345	2.819	2.319	2.949	2.575	2.383	3.846	2.369	2.991	2.56582	1285697.0	1555693.65613
sub-042_T1w	2.622	2.995	2.734	2.059	3.418	3.104	2.493	3.187	2.731	2.354	2.938	2.279	2.774	3.158	2.983	2.541	3.017	2.934	2.917	1.87	2.263	2.631	2.802	2.546	2.95	2.678	2.9	2.291	3.202	2.648	3.142	3.457	2.632	3.089	2.71249	1341976.0	1654778.84701
sub-043_T1w	2.411	3.053	2.655	1.983	3.001	2.968	2.464	2.969	2.162	2.443	2.762	1.898	2.798	2.826	2.812	2.622	2.714	2.48	2.742	1.611	2.133	2.379	2.818	2.474	3.024	2.571	2.845	2.225	2.919	2.624	3.417	3.173	2.594	3.036	2.59614	1230476.0	1542545.43646
sub-044_T1w	2.351	2.838	2.562	2.052	2.885	2.935	2.483	2.989	2.386	2.345	2.762	2.164	2.561	2.995	3.098	2.504	2.925	2.765	2.784	1.683	2.309	2.366	2.748	2.37	2.943	2.516	2.849	2.303	3.107	2.839	3.389	3.718	3.091	3.257	2.63361	1268691.0	1499521.89492
sub-045_T1w	2.366	2.359	2.565	2.059	2.893	2.837	2.542	3.059	2.256	2.243	2.761	2.129	2.543	2.949	2.795	2.512	2.492	2.964	2.4	1.853	2.188	2.337	2.765	2.459	2.898	2.477	2.791	2.182	2.832	2.579	2.704	2.385	2.251	2.949	2.54516	1217367.0	1521688.29837
sub-046_T1w	2.658	2.804	2.845	1.912	3.478	2.981	2.614	3.277	2.677	2.285	3.084	2.193	2.71	3.341	2.821	2.684	3.114	3.031	2.96	1.603	2.295	2.699	2.809	2.647	3.122	2.777	2.877	2.367	3.148	2.712	3.098	3.862	2.878	3.153	2.73077	1543487.0	1855470.1602
sub-047_T1w	2.716	2.47	2.58	1.698	2.827	2.699	2.31	2.816	2.207	2.076	2.477	1.986	2.41	2.859	2.467	2.532	2.724	2.668	2.586	1.473	2.163	2.545	2.676	2.399	2.663	2.499	2.699	2.132	2.819	2.489	2.362	2.739	2.345	3.04	2.46768	1329977.0	1696912.74338
sub-048_T1w	2.702	2.628	2.728	1.943	3.172	3.06	2.624	3.078	2.453	2.487	2.795	2.137	2.578	3.119	3.036	2.398	2.854	3.138	2.954	1.714	2.15	2.548	2.68	2.552	2.977	2.649	2.872	2.274	2.983	2.671	2.606	3.485	2.419	3.163	2.65567	1262207.0	1624755.45263
sub-049_T1w	2.613	2.794	2.834	2.059	3.718	2.969	2.659	3.163	2.399	2.431	2.868	2.31	2.449	2.977	3.102	2.641	2.959	2.849	2.836	1.659	2.335	2.532	2.88	2.662	3.098	2.483	2.968	2.434	3.207	2.707	2.978	3.897	2.316	3.13	2.72005	1285222.0	1586941.43297
